"1",""
"2","|"
"3","a"
"4","a's"
"5","aa"
"6","ab"
"7","able"
"8","about"
"9","above"
"10","abstract"
"11","according"
"12","accordingly"
"13","across"
"14","actually"
"15","additional"
"16","address"
"17","after"
"18","afterwards"
"19","again"
"20","against"
"21","ai"
"22","ain't"
"23","al"
"24","all"
"25","allow"
"26","allows"
"27","almost"
"28","alone"
"29","along"
"30","already"
"31","also"
"32","although"
"33","always"
"34","am"
"35","among"
"36","amongst"
"37","an"
"38","and"
"39","another"
"40","any"
"41","anybody"
"42","anyhow"
"43","anyone"
"44","anything"
"45","anyway"
"46","anyways"
"47","anywhere"
"48","apart"
"49","appear"
"50","appreciate"
"51","appropriate"
"52","are"
"53","area"
"54","areas"
"55","aren't"
"56","around"
"57","as"
"58","aside"
"59","ask"
"60","asked"
"61","asking"
"62","asks"
"63","associated"
"64","at"
"65","available"
"66","away"
"67","awfully"
"68","b"
"69","back"
"70","backed"
"71","backing"
"72","backs"
"73","bb"
"74","be"
"75","became"
"76","because"
"77","become"
"78","becomes"
"79","becoming"
"80","been"
"81","before"
"82","beforehand"
"83","began"
"84","behind"
"85","being"
"86","beings"
"87","believe"
"88","below"
"89","beside"
"90","besides"
"91","best"
"92","better"
"93","between"
"94","beyond"
"95","big"
"96","bm"
"97","both"
"98","box"
"99","brief"
"100","but"
"101","by"
"102","c"
"103","c'mon"
"104","c's"
"105","came"
"106","can"
"107","can't"
"108","cannot"
"109","cant"
"110","case"
"111","cases"
"112","cause"
"113","causes"
"114","cd"
"115","certain"
"116","certainly"
"117","changes"
"118","clear"
"119","clearly"
"120","cm"
"121","co"
"122","com"
"123","come"
"124","comes"
"125","concerning"
"126","consequently"
"127","consider"
"128","considering"
"129","contain"
"130","containing"
"131","contains"
"132","corresponding"
"133","could"
"134","couldn't"
"135","course"
"136","crop"
"137","crops"
"138","currently"
"139","cv"
"140","d"
"141","date"
"142","de"
"143","definitely"
"144","described"
"145","despite"
"146","df"
"147","did"
"148","didn't"
"149","differ"
"150","different"
"151","differently"
"152","dm"
"153","do"
"154","does"
"155","doesn't"
"156","doing"
"157","don't"
"158","done"
"159","down"
"160","downed"
"161","downing"
"162","downs"
"163","downwards"
"164","during"
"165","e"
"166","each"
"167","early"
"168","ed"
"169","edu"
"170","effect"
"171","effects"
"172","eg"
"173","eight"
"174","either"
"175","else"
"176","elsewhere"
"177","end"
"178","ended"
"179","ending"
"180","ends"
"181","enough"
"182","entirely"
"183","especially"
"184","et"
"185","etc"
"186","even"
"187","evenly"
"188","ever"
"189","every"
"190","everybody"
"191","everyone"
"192","everything"
"193","everywhere"
"194","ex"
"195","exactly"
"196","example"
"197","except"
"198","ez"
"199","f"
"200","face"
"201","faces"
"202","fact"
"203","facts"
"204","far"
"205","felt"
"206","few"
"207","fifth"
"208","fig"
"209","figure"
"210","find"
"211","finds"
"212","first"
"213","five"
"214","followed"
"215","following"
"216","follows"
"217","for"
"218","former"
"219","formerly"
"220","forth"
"221","four"
"222","from"
"223","full"
"224","fully"
"225","further"
"226","furthered"
"227","furthering"
"228","furthermore"
"229","furthers"
"230","g"
"231","gave"
"232","general"
"233","generally"
"234","get"
"235","gets"
"236","getting"
"237","give"
"238","given"
"239","gives"
"240","gl"
"241","go"
"242","goes"
"243","going"
"244","gone"
"245","good"
"246","goods"
"247","got"
"248","gotten"
"249","great"
"250","greater"
"251","greatest"
"252","greetings"
"253","group"
"254","grouped"
"255","grouping"
"256","groups"
"257","gs"
"258","h"
"259","ha"
"260","had"
"261","hadn't"
"262","happens"
"263","hardly"
"264","has"
